おがわさんは四月から毎朝ぎゅうにゅうを飲んでいます。(飲んで),たのんで,すんで,のんで,やんで,のんで,漢字読み,N5,N5-19-1
あそこにはながいかわがあります。(ながい),安い,広い,多い,長い,長い,表記,N5,N5-19-2
この門は子どもの力では開けられません。(門),と,はこ,まど,もん,もん,漢字読み,N5,N5-19-3
はやくしゃしんをおくってください。(しゃしん),曷真,曷頁,写真,写頁,写真,表記,N5,N5-19-4
中田さんはくろい背広をきています。(背広),せびろ,せひろ,せいこう,せこう,せびろ,漢字読み,N5,N5-19-5
この国はふゆでも20どいじょうになることがある。(20ど),20広,20度,20庄,20席,20度,表記,N5,N5-19-6
このことばの意味はなんですか。(意味),いみ,いい,いり,いし,いみ,漢字読み,N5,N5-19-7
かわいい女の子が生まれました。(女の子),おんなのこ,おなのこ,あんなのこ,あなのこ,おんなのこ,漢字読み,N5,N5-19-8
えきの後ろにこうえんがあります。(後ろ),あとろ,ごろ,うしろ,こうろ,うしろ,漢字読み,N5,N5-19-9
このまちのにしにはおおきなかわがあります。(おおきな),犬きな,夫きな,大きな,夭きな,大きな,表記,N5,N5-19-10
ははとやまにのぼりました。(やま),上,山,止,凸,山,表記,N5,N5-18-1
きのうじゅぎょうに遅れました。(遅れました),おかれました,おくれました,おそれました,およれました,おくれました,漢字読み,N5,N5-18-2
きのうはゆうはんにぎゅうにくをたべた。(ゆうはん),夕飲,夕飯,夜飲,夜飯,夕飯,表記,N5,N5-18-3
また病気になりました。(病気),びょうき,ぴょうき,ひょうき,ひょうぎ,びょうき,漢字読み,N5,N5-18-4
きかいはただしくつかってください。(ただしく),止しく,丘して,正しく,疋しく,正しく,表記,N5,N5-18-5
きょうしつに何人いますか。(何人),なにじん,なににん,なんじん,なんにん,なんにん,漢字読み,N5,N5-18-6
こんしゅうはてんきがよかった。(てんき),天気,天汽,矢気,矢汽,天気,表記,N5,N5-18-7
人によって考え方も違います。(違います),ちがいます,ちかいます,かたいます,おもいます,ちがいます,漢字読み,N5,N5-18-8
それはいいかめらですね。(かめら),刀メラ,カメヲ,刀メヲ,カメラ,カメラ,表記,N5,N5-18-9
ことしのふゆやすみにくにへかえります。(ことし),令年,来年,今年,金年,今年,表記,N5,N5-18-10
スポーツをして頭も体もすっきりしました。(体),からた,かだら,がらた,からだ,からだ,漢字読み,N5,N5-17-1
ここはこうつうが不便です。(不便),ぶべん,ぶへん,ふべん,ふへん,ふべん,漢字読み,N5,N5-17-2
このぶんをえいごにしてください。(えいご),芙語,荼語,竺語,英語,英語,表記,N5,N5-17-3
